reader,dataset,retriever,track,n,errors,gold,gold_lo,gold_hi,poison,poison_lo,poison_hi,abstain,abstain_lo,abstain_hi,drift,drift_lo,drift_hi
llama70b,wiki2,e5ce,attack,2696,0,0.15615727002967358,0.1435,0.1706,0.23701780415430268,0.2211,0.2537,0.5089020771513353,0.4904,0.5286,0.09792284866468842,0.0868,0.1091
llama70b,wiki2,e5ce,forced,2696,0,0.0663946587537092,0.0571,0.0757,0.2206973293768546,0.2044,0.2370,0.6357566765578635,0.6176,0.6536,0.0771513353115727,0.0679,0.0872
llama70b,wiki2,colbert,clean,2696,0,0.17470326409495548,0.1599,0.1892,0.00556379821958457,0.0030,0.0085,0.6821216617210683,0.6639,0.7007,0.13761127596439168,0.1246,0.1506
llama70b,wiki2,colbert,attack,2696,0,0.11016320474777448,0.0987,0.1220,0.23887240356083086,0.2240,0.2548,0.5400593471810089,0.5211,0.5579,0.11090504451038576,0.0994,0.1220
llama70b,wiki2,colbert,forced,2696,0,0.0663946587537092,0.0571,0.0760,0.2206973293768546,0.2055,0.2363,0.6357566765578635,0.6176,0.6532,0.0771513353115727,0.0675,0.0872
gptoss120b,hotpot_nq,e5ce,clean,2982,5,0.448692152917505,0.4306,0.4658,0.002347417840375587,0.0007,0.0040,0.2702883970489604,0.2539,0.2867,0.27867203219315895,0.2616,0.2961
gptoss120b,hotpot_nq,e5ce,attack,2982,3,0.32796780684104626,0.3112,0.3461,0.19584171696847752,0.1811,0.2106,0.19282360831656606,0.1791,0.2069,0.28336686787391013,0.2669,0.2995
gptoss120b,hotpot_nq,e5ce,forced,2982,3,0.17572099262240107,0.1623,0.1891,0.3085177733065057,0.2921,0.3246,0.2964453386988598,0.2800,0.3132,0.2193158953722334,0.2049,0.2344
gptoss120b,hotpot_nq,colbert,clean,2982,2,0.40979208584842386,0.3934,0.4276,0.002347417840375587,0.0007,0.0044,0.29745137491616364,0.2807,0.3135,0.2904091213950369,0.2740,0.3065
gptoss120b,hotpot_nq,colbert,attack,2982,6,0.2964453386988598,0.2803,0.3135,0.2069081153588196,0.1925,0.2210,0.22065727699530516,0.2062,0.2361,0.2759892689470154,0.2599,0.2918
gptoss120b,hotpot_nq,colbert,forced,2982,5,0.17370892018779344,0.1596,0.1878,0.30818242790073774,0.2907,0.3239,0.2947686116700201,0.2780,0.3105,0.22334004024144868,0.2086,0.2381
gptoss120b,trivia,e5ce,clean,1398,15,0.29113018597997137,0.2668,0.3155,0.000715307582260372,0.0000,0.0021,0.28898426323319026,0.2654,0.3119,0.41917024320457796,0.3941,0.4464
gptoss120b,trivia,e5ce,attack,1398,22,0.20386266094420602,0.1838,0.2239,0.056509298998569386,0.0451,0.0687,0.19957081545064378,0.1795,0.2210,0.5400572246065808,0.5136,0.5665
gptoss120b,trivia,e5ce,forced,1398,18,0.06151645207439199,0.0494,0.0744,0.16523605150214593,0.1452,0.1853,0.2732474964234621,0.2504,0.2961,0.5,0.4742,0.5272
gptoss120b,trivia,colbert,clean,1398,16,0.2875536480686695,0.2639,0.3126,0.000715307582260372,0.0000,0.0021,0.2918454935622318,0.2682,0.3155,0.4198855507868383,0.3941,0.4464
gptoss120b,trivia,colbert,attack,1398,13,0.20028612303290416,0.1803,0.2217,0.059370529327610874,0.0479,0.0722,0.19742489270386265,0.1774,0.2182,0.5429184549356223,0.5186,0.5680
gptoss120b,trivia,colbert,forced,1398,18,0.06151645207439199,0.0486,0.0744,0.1659513590844063,0.1466,0.1867,0.2732474964234621,0.2504,0.2961,0.49928469241773965,0.4742,0.5272
gptoss120b,wiki2,e5ce,clean,2696,10,0.04599406528189911,0.0378,0.0538,0.0025964391691394658,0.0007,0.0048,0.7129080118694362,0.6958,0.7296,0.23850148367952523,0.2229,0.2552
gptoss120b,wiki2,e5ce,attack,2696,12,0.03449554896142433,0.0278,0.0415,0.0830860534124629,0.0723,0.0946,0.6546735905044511,0.6361,0.6717,0.22774480712166173,0.2125,0.2441
gptoss120b,wiki2,e5ce,forced,2696,26,0.015578635014836795,0.0111,0.0204,0.09977744807121662,0.0883,0.1113,0.7143916913946587,0.6970,0.7307,0.17025222551928784,0.1565,0.1855
gptoss120b,wiki2,colbert,clean,2696,12,0.040059347181008904,0.0334,0.0475,0.0025964391691394658,0.0011,0.0048,0.7403560830860534,0.7233,0.7567,0.21698813056379823,0.2018,0.2329
gptoss120b,wiki2,colbert,attack,2696,20,0.026335311572700297,0.0204,0.0330,0.07752225519287834,0.0675,0.0883,0.6735905044510386,0.6562,0.6914,0.22255192878338279,0.2070,0.2389
gptoss120b,wiki2,colbert,forced,2696,26,0.015578635014836795,0.0111,0.0204,0.09977744807121662,0.0886,0.1116,0.7143916913946587,0.6977,0.7318,0.17025222551928784,0.1558,0.1851
gpt4omini,hotpot_nq,e5ce,clean,2982,0,0.41851106639839036,0.4004,0.4370,0.001676727028839705,0.0003,0.0034,0.32964453386988596,0.3115,0.3471,0.250167672702884,0.2347,0.2669
gpt4omini,hotpot_nq,e5ce,attack,2982,0,0.2733065057008719,0.2569,0.2897,0.2619047619047619,0.2461,0.2777,0.21495640509725017,0.2002,0.2300,0.24983232729711602,0.2341,0.2656
gpt4omini,hotpot_nq,e5ce,forced,2982,0,0.15325285043594902,0.1408,0.1660,0.29074446680080485,0.2743,0.3068,0.37256874580818244,0.3541,0.3900,0.18343393695506371,0.1700,0.1975
gpt4omini,hotpot_nq,colbert,clean,2982,0,0.3789403085177733,0.3622,0.3964,0.002012072434607646,0.0007,0.0037,0.37759892689470154,0.3592,0.3954,0.2414486921529175,0.2260,0.2559
gpt4omini,hotpot_nq,colbert,attack,2982,271,0.22401073105298458,0.2096,0.2394,0.23775989268947015,0.2223,0.2532,0.3071763916834339,0.2897,0.3243,0.23105298457411133,0.2163,0.2461
gpt4omini,hotpot_nq,colbert,forced,2982,138,0.1391683433936955,0.1268,0.1526,0.28437290409121396,0.2679,0.3001,0.4044265593561368,0.3860,0.4222,0.1720321931589537,0.1579,0.1858
gpt4omini,trivia,e5ce,clean,1398,0,0.6666666666666666,0.6423,0.6917,0.0,0.0000,0.0000,0.1473533619456366,0.1295,0.1660,0.1859799713876967,0.1660,0.2074
gpt4omini,trivia,e5ce,attack,1398,50,0.3898426323319027,0.3634,0.4156,0.2825464949928469,0.2589,0.3076,0.1430615164520744,0.1252,0.1617,0.18454935622317598,0.1645,0.2046
gpt4omini,trivia,e5ce,forced,1398,464,0.11087267525035766,0.0951,0.1280,0.2732474964234621,0.2504,0.2969,0.5121602288984263,0.4871,0.5379,0.10371959942775394,0.0873,0.1202
gpt4omini,trivia,colbert,clean,1398,237,0.5472103004291845,0.5207,0.5722,0.000715307582260372,0.0000,0.0021,0.3032904148783977,0.2790,0.3269,0.14878397711015737,0.1309,0.1681
gpt4omini,trivia,colbert,attack,1398,24,0.3748211731044349,0.3498,0.4006,0.30257510729613735,0.2783,0.3276,0.11874105865522175,0.1023,0.1359,0.20386266094420602,0.1838,0.2268
gpt4omini,wiki2,e5ce,clean,2696,891,0.10905044510385757,0.0972,0.1209,0.001112759643916914,0.0000,0.0026,0.7926557863501483,0.7774,0.8071,0.09718100890207715,0.0864,0.1087
gpt4omini,wiki2,e5ce,attack,2696,429,0.11053412462908012,0.0990,0.1228,0.22551928783382788,0.2099,0.2422,0.5537833827893175,0.5352,0.5720,0.11016320474777448,0.0990,0.1228
